Role,JobDescription
Software Engineer,"Hiring a strong Software Engineer to design, build, and maintain production services used by real customers. Responsibilities: deliver well-structured code, write tests, review PRs, and own features from design to rollout and post?launch monitoring. Work closely with Product and Design to clarify scope and trade?offs; decompose problems; document decisions. Required: 3+ years shipping software; expertise in one or more languages (Python/Java/Go/TypeScript/C#); designing REST/GraphQL APIs; SQL/NoSQL data modeling; Git; debugging in Linux; CI/CD familiarity. Preferred: experience with microservices, messaging (Kafka/RabbitMQ), caching (Redis), observability (logs/metrics/traces), cloud (AWS/GCP/Azure), security basics (OWASP). You should be comfortable reading unfamiliar code, measuring performance, and proposing pragmatic improvements. Excellent communication, ownership mindset, and the ability to collaborate across functions are essential."
Backend Developer,"Looking for a Backend Developer to own APIs, business logic, and data persistence for high?traffic services. Responsibilities: design contracts, enforce validation/auth, implement domain models and transactions, and ensure performance under load. Required: 3-5 years building backend services using Python/Java/Go/Node; relational databases (PostgreSQL/MySQL) and indexing; caching (Redis); queues/streams (Kafka/RabbitMQ); containerization (Docker) and CI/CD; writing unit/integration tests. Preferred: Kubernetes, GRPC, event?driven design, idempotency and rate?limiting patterns, observability (OpenTelemetry), performance profiling. Expect to drive code reviews, production debugging, and incident prevention with root?cause analysis. Strong systems thinking and data correctness mindset are must?haves."
Frontend Developer,"Seeking a Frontend Developer who ships accessible, responsive, and fast UIs. Responsibilities: translate Figma into reusable components, manage state, consume APIs, handle auth/roles, and ensure a11y/SEO/perf. Required: 2-4 years with React/Next.js or Vue; TypeScript; modern CSS (Tailwind/SCSS); testing (Jest/RTL); web fundamentals (semantics, forms, accessibility); performance profiling (Lighthouse/Core Web Vitals). Preferred: React Query/Redux Toolkit, SSR/ISR, charts, feature flags, analytics, error boundaries, and internationalization. You are comfortable collaborating with designers, writing clean code, and iterating quickly based on metrics and user feedback."
Full-Stack Developer,"Hiring a Full?Stack Developer to deliver end?to?end features. Responsibilities: build React/Next.js interfaces; implement Node/FastAPI/Django services; design schemas (PostgreSQL/MySQL/MongoDB); write tests; set up CI; and monitor releases. Required: 3+ years on web apps; TypeScript/JavaScript plus one backend language; REST/GraphQL; auth (JWT/OAuth); cloud basics; Git. Preferred: microservices, message queues, caching, file storage, background jobs, and infra as code. You thrive in ambiguous problems, communicate clearly with non?engineers, and balance speed with maintainability."
Data Analyst,"We need a Data Analyst who turns raw data into decisions. Responsibilities: build governed dashboards; maintain core metrics; perform EDA; run A/B and cohort analyses; and partner with product/marketing on insights. Required: strong SQL (CTEs, window functions); BI tools (Power BI/Tableau/Looker); data cleaning; visualization best practices; business storytelling. Preferred: Python (pandas), experimentation design, forecasting, and marketing/product analytics. You should be rigorous about data quality and proactive in defining KPIs that truly reflect business outcomes."
Business Intelligence Analyst,"BI Analyst to design reliable semantic layers and publish trustworthy dashboards. Responsibilities: model data (star/snowflake), optimize query performance, set metric definitions, and document lineage. Required: expert SQL; BI tools (Power BI/Tableau/Looker); ETL/ELT concepts; understanding of warehouse platforms (BigQuery/Redshift/Snowflake). Preferred: dbt, governance practices, incremental models, and access controls. Strong stakeholder management and the ability to say no to vanity metrics are key."
Data Engineer,"Hiring a Data Engineer to build robust data pipelines and platforms supporting analytics and ML. Responsibilities: ingest from APIs/streams, transform with Airflow/dbt/Spark, and serve clean tables to downstream users. Required: Python/SQL; orchestration (Airflow); warehousing on BigQuery/Redshift/Snowflake; data modeling; testing and monitoring for pipelines; partitioning and cost/perf tuning. Preferred: Kafka, schema registry, Delta/Parquet formats, CI for data, and basic security/compliance. You care about reliability, documentation, and reproducibility."
Data Scientist,"Data Scientist to solve measurable business problems with models and analyses. Responsibilities: EDA, feature engineering, model training/validation, experiment design, and clear communication of impact. Required: Python (pandas/numpy/scikit?learn); statistics and causal thinking; evaluation metrics; reproducible notebooks/code; stakeholder storytelling. Preferred: time series/NLP, ML in production with engineers, and dashboarding your results. You should focus on operationalizable outcomes, not just accuracy in isolation."
Machine Learning Engineer,"ML Engineer to productionize models end?to?end. Responsibilities: design training/inference pipelines, deploy services, monitor drift/latency, and create feedback loops. Required: Python; one of PyTorch/TensorFlow; scikit?learn; containerization (Docker/K8s); CI/CD; feature stores/vector DBs; model versioning and rollback. Preferred: ONNX, Triton, Ray, MLflow, batch/stream inference, and cost/performance trade?offs. You work closely with DS to ensure reproducibility and reliability in real environments."
AI Engineer,"AI Engineer to integrate LLMs and embeddings into user?facing products. Responsibilities: retrieval?augmented generation, prompt/retrieval evaluation, safety/guardrails, and telemetry for quality. Required: Python/TypeScript; vector databases; embeddings; REST/GRPC; tracing/observability; basic security. Preferred: LangChain/LlamaIndex, evaluation frameworks, function calling, multi?tool orchestration, and caching. You bias toward measurable user value, latency controls, and cost efficiency."
DevOps Engineer,"DevOps Engineer to own CI/CD and platform reliability. Responsibilities: build pipelines, containerize apps, define IaC, and instrument monitoring/alerts. Required: GitHub Actions/GitLab CI/Jenkins; Docker/Kubernetes; Terraform/CloudFormation; Linux/Bash; secrets and access control; incident response basics. Preferred: Helm/Argo CD, blue/green/canary, SAST/DAST, and FinOps awareness. You partner with developers for fast, safe releases and reduce toil via automation."
Cloud Engineer,"Cloud Engineer to design and operate secure, scalable workloads on AWS/Azure/GCP. Responsibilities: IAM, networking, storage/compute, backups/DR, and cost/performance tuning. Required: hands?on with at least one major cloud; scripting/IaC; monitoring and incident handling. Preferred: Kubernetes, serverless, hybrid networking, and compliance controls. Strong documentation and change management are expected."
Cloud Architect,"Cloud Architect to define reference architectures and guide teams. Responsibilities: reviews/designs for high availability, security, observability, and cost; set guardrails and best practices; and support migrations. Required: deep knowledge of AWS/Azure/GCP services and trade?offs; network/IAM design; IaC patterns. Preferred: multi?region, data platforms, and zero?trust design. Clear communication to exec and engineering audiences is essential."
Site Reliability Engineer (SRE),"SRE to improve reliability and velocity via SLOs, automation, and incident response. Responsibilities: define SLIs/SLOs, build tooling, reduce toil, manage on?call, and run blameless postmortems. Required: Linux, networking, scripting (Bash/Python), observability stacks, and capacity planning. Preferred: chaos testing, performance tuning, and cost controls. You drive systemic fixes, not band?aids."
Cybersecurity Analyst,"Cybersecurity Analyst to detect and respond to threats. Responsibilities: triage alerts, investigate incidents, coordinate remediation, and improve detections. Required: familiarity with SIEM/EDR, IAM concepts, network security, and vulnerability management. Preferred: cloud security, forensics basics, MITRE ATT&CK, and scripting for automation. Clear, actionable reporting and risk communication are musts."
Penetration Tester,"Penetration Tester to run authorized testing across web, network, and cloud. Responsibilities: reconnaissance, exploitation, and concise remediation reports. Required: OWASP Top 10, web/network tooling (Burp/Nmap), scripting, and report writing. Preferred: OSCP/CEH, cloud provider testing, and CI?integrated security scans. Ethical standards and responsible disclosure are critical."
QA Engineer,"QA Engineer to ensure release quality. Responsibilities: author test plans/cases, execute regression and exploratory testing, and file clear defects. Required: API testing (Postman), basics of SQL, understanding of SDLC, and strong reproduction/communication skills. Preferred: mobile/web testing experience, test data management, and participation in release readiness. You collaborate with PM/Design/Eng to define acceptance criteria and prevent defects early."
Test Automation Engineer (SDET),"SDET to build maintainable UI/API automation and integrate with CI/CD. Responsibilities: choose frameworks, design page objects, implement stable tests, and measure coverage. Required: JavaScript/TypeScript/Java/Python; Cypress/Playwright/Selenium; REST testing; mocking; Git. Preferred: Allure reporting, flaky test reduction, parallelization, and performance testing. You partner with developers to shift?left quality."
Product Manager,"Product Manager to own outcomes from discovery to delivery. Responsibilities: define vision/OKRs, prioritize problems, write PRDs, run experiments, and align stakeholders. Required: strong communication, structured thinking, and data literacy; experience with user research and metric definitions. Preferred: SQL (read), A/B testing, B2B SaaS or consumer growth background. You balance user value, feasibility, and business impact."
Business Analyst,"Business Analyst to bridge business and engineering. Responsibilities: elicit requirements, map processes (BPMN), write specs/stories, and validate outcomes with data. Required: facilitation and documentation skills, stakeholder alignment, and KPI awareness. Preferred: SQL (read), dashboarding, and experience in ERP/CRM/process tools. You make ambiguity actionable and keep teams synchronized."
UX Designer,"UX Designer to deliver end?to?end experiences. Responsibilities: plan research, synthesize insights, create flows/wireframes, prototype interactions, and validate with usability testing. Required: Figma, research fundamentals, accessibility, and cross?functional collaboration. Preferred: design systems, analytics, and experimentation literacy. You advocate for the user and communicate decisions clearly."
